feedback_id,client_id,house_id,transaction_id,feedback_date,rating,comments
1,60,669,1677,2023-01-01,3,I found the perfect home for my family. Couldn't be happier!
2,2329,228,4952,2023-01-01,1,The agent was very helpful and responsive. Highly recommended!
3,2102,58,1520,2023-01-01,3,The house was in excellent condition and exceeded my expectations.
4,2232,564,1597,2023-01-01,2,"The process was a bit slow, but overall, I am satisfied with the outcome."
5,1776,472,4874,2023-01-02,5,"The process was a bit slow, but overall, I am satisfied with the outcome."
6,1347,203,314,2023-01-02,4,"There were some delays, but the final result was worth the wait."
7,2617,277,964,2023-01-02,3,The house was in excellent condition and exceeded my expectations.
8,1194,434,505,2023-01-03,1,I appreciate the transparency and professionalism throughout the transaction.
9,1774,226,2653,2023-01-03,4,I appreciate the transparency and professionalism throughout the transaction.
10,2839,938,863,2023-01-03,3,"The process was a bit slow, but overall, I am satisfied with the outcome."
11,475,335,2981,2023-01-03,2,"The house had some issues, but they were addressed promptly by the seller."
12,1958,586,1034,2023-01-04,1,I had a pleasant experience with the transaction. Everything went smoothly.
13,140,842,2739,2023-01-04,4,I appreciate the transparency and professionalism throughout the transaction.
14,1041,975,3612,2023-01-04,2,I appreciate the transparency and professionalism throughout the transaction.
15,1071,277,3655,2023-01-05,5,I found the perfect home for my family. Couldn't be happier!
16,818,420,3238,2023-01-05,5,"The house had some issues, but they were addressed promptly by the seller."
17,39,341,4972,2023-01-05,3,I found the perfect home for my family. Couldn't be happier!
18,1774,196,4636,2023-01-05,5,The property listing was accurate and met all my requirements.
19,576,851,391,2023-01-06,3,"The process was a bit slow, but overall, I am satisfied with the outcome."
20,1546,147,1765,2023-01-06,1,The house was in excellent condition and exceeded my expectations.
21,1943,910,1499,2023-01-06,1,The house was in excellent condition and exceeded my expectations.
22,1319,991,907,2023-01-07,4,The house was in excellent condition and exceeded my expectations.
23,1531,655,3406,2023-01-07,1,"The process was a bit slow, but overall, I am satisfied with the outcome."
24,2633,740,3721,2023-01-07,3,"The process was a bit slow, but overall, I am satisfied with the outcome."
25,782,646,3546,2023-01-07,3,"The negotiation process was tough, but we managed to reach an agreement."
26,1038,248,4955,2023-01-08,3,The house was in excellent condition and exceeded my expectations.
27,2961,144,4901,2023-01-08,5,I appreciate the transparency and professionalism throughout the transaction.
28,252,274,3188,2023-01-08,1,"There were some delays, but the final result was worth the wait."
29,50,556,4991,2023-01-09,4,The agent was very helpful and responsive. Highly recommended!
30,1326,239,754,2023-01-09,5,I had a pleasant experience with the transaction. Everything went smoothly.
31,2709,592,37,2023-01-09,2,The house was in excellent condition and exceeded my expectations.
32,2917,184,1662,2023-01-09,2,I had a pleasant experience with the transaction. Everything went smoothly.
33,1291,862,2549,2023-01-10,2,I had a pleasant experience with the transaction. Everything went smoothly.
34,1201,519,1333,2023-01-10,2,"The process was a bit slow, but overall, I am satisfied with the outcome."
35,733,391,4781,2023-01-10,4,"The house had some issues, but they were addressed promptly by the seller."
36,989,720,2483,2023-01-11,1,"The negotiation process was tough, but we managed to reach an agreement."
37,2328,605,4822,2023-01-11,3,"The process was a bit slow, but overall, I am satisfied with the outcome."
38,2182,2,4187,2023-01-11,5,"The house had some issues, but they were addressed promptly by the seller."
39,318,543,278,2023-01-11,4,I had a pleasant experience with the transaction. Everything went smoothly.
40,101,486,3743,2023-01-12,3,I found the perfect home for my family. Couldn't be happier!
41,178,165,3913,2023-01-12,5,The agent was very helpful and responsive. Highly recommended!
42,2266,397,652,2023-01-12,4,I had a pleasant experience with the transaction. Everything went smoothly.
43,242,558,3666,2023-01-13,1,The house was in excellent condition and exceeded my expectations.
44,2086,426,1861,2023-01-13,1,I appreciate the transparency and professionalism throughout the transaction.
45,2073,823,4229,2023-01-13,2,The house was in excellent condition and exceeded my expectations.
46,1437,625,2062,2023-01-13,2,The house was in excellent condition and exceeded my expectations.
47,690,858,3983,2023-01-14,5,The house was in excellent condition and exceeded my expectations.
48,1307,875,1267,2023-01-14,3,I had a pleasant experience with the transaction. Everything went smoothly.
49,1531,850,236,2023-01-14,1,"The house had some issues, but they were addressed promptly by the seller."
50,2916,528,1706,2023-01-15,3,I appreciate the transparency and professionalism throughout the transaction.
51,2789,500,3940,2023-01-15,5,I appreciate the transparency and professionalism throughout the transaction.
52,2325,705,1411,2023-01-15,5,I appreciate the transparency and professionalism throughout the transaction.
53,5,282,3066,2023-01-16,5,The property listing was accurate and met all my requirements.
54,711,237,1958,2023-01-16,2,"The process was a bit slow, but overall, I am satisfied with the outcome."
55,1925,479,3155,2023-01-16,2,I appreciate the transparency and professionalism throughout the transaction.
56,949,516,3038,2023-01-16,1,The property listing was accurate and met all my requirements.
57,2522,244,3174,2023-01-17,2,The house was in excellent condition and exceeded my expectations.
58,1460,765,462,2023-01-17,5,"The negotiation process was tough, but we managed to reach an agreement."
59,2334,903,3646,2023-01-17,5,"The process was a bit slow, but overall, I am satisfied with the outcome."
60,1978,260,1384,2023-01-18,4,I appreciate the transparency and professionalism throughout the transaction.
61,2688,257,3758,2023-01-18,3,The house was in excellent condition and exceeded my expectations.
62,2378,218,111,2023-01-18,4,I had a pleasant experience with the transaction. Everything went smoothly.
63,2796,694,4132,2023-01-18,5,I had a pleasant experience with the transaction. Everything went smoothly.
64,2348,52,373,2023-01-19,5,I had a pleasant experience with the transaction. Everything went smoothly.
65,1048,147,3105,2023-01-19,3,The property listing was accurate and met all my requirements.
66,660,92,3407,2023-01-19,4,"The negotiation process was tough, but we managed to reach an agreement."
67,1191,588,1496,2023-01-20,2,The property listing was accurate and met all my requirements.
68,1521,369,1680,2023-01-20,3,"The process was a bit slow, but overall, I am satisfied with the outcome."
69,274,472,3681,2023-01-20,2,I had a pleasant experience with the transaction. Everything went smoothly.
70,1661,539,2677,2023-01-20,4,"The house had some issues, but they were addressed promptly by the seller."
71,1223,701,1735,2023-01-21,1,I found the perfect home for my family. Couldn't be happier!
72,1308,675,2315,2023-01-21,3,"The process was a bit slow, but overall, I am satisfied with the outcome."
73,2096,904,3679,2023-01-21,5,I had a pleasant experience with the transaction. Everything went smoothly.
74,406,540,4789,2023-01-22,2,I appreciate the transparency and professionalism throughout the transaction.
75,935,82,4534,2023-01-22,5,"The negotiation process was tough, but we managed to reach an agreement."
76,2737,709,4697,2023-01-22,4,The property listing was accurate and met all my requirements.
77,1299,990,3576,2023-01-22,5,I appreciate the transparency and professionalism throughout the transaction.
78,498,743,2229,2023-01-23,2,"There were some delays, but the final result was worth the wait."
79,2987,183,2051,2023-01-23,3,"The process was a bit slow, but overall, I am satisfied with the outcome."
80,2867,326,3103,2023-01-23,1,"The negotiation process was tough, but we managed to reach an agreement."
81,2624,340,2335,2023-01-24,1,I had a pleasant experience with the transaction. Everything went smoothly.
82,1950,976,1968,2023-01-24,2,"There were some delays, but the final result was worth the wait."
83,594,843,1693,2023-01-24,4,I had a pleasant experience with the transaction. Everything went smoothly.
84,29,336,216,2023-01-24,4,"The negotiation process was tough, but we managed to reach an agreement."
85,1721,340,1375,2023-01-25,2,"The negotiation process was tough, but we managed to reach an agreement."
86,199,444,1860,2023-01-25,2,"There were some delays, but the final result was worth the wait."
87,2984,562,4356,2023-01-25,2,"The negotiation process was tough, but we managed to reach an agreement."
88,2573,250,3579,2023-01-26,5,"The process was a bit slow, but overall, I am satisfied with the outcome."
89,2385,259,50,2023-01-26,2,I appreciate the transparency and professionalism throughout the transaction.
90,2995,382,4629,2023-01-26,1,The house was in excellent condition and exceeded my expectations.
91,1761,28,1028,2023-01-26,5,The agent was very helpful and responsive. Highly recommended!
92,2148,332,1854,2023-01-27,1,"The negotiation process was tough, but we managed to reach an agreement."
93,1536,287,3570,2023-01-27,2,The property listing was accurate and met all my requirements.
94,1330,64,3285,2023-01-27,2,"The negotiation process was tough, but we managed to reach an agreement."
95,1452,583,2675,2023-01-28,5,The agent was very helpful and responsive. Highly recommended!
96,1047,925,808,2023-01-28,1,"There were some delays, but the final result was worth the wait."
97,700,601,669,2023-01-28,4,The property listing was accurate and met all my requirements.
98,489,939,3300,2023-01-28,5,I had a pleasant experience with the transaction. Everything went smoothly.
99,1030,934,3201,2023-01-29,3,I found the perfect home for my family. Couldn't be happier!
100,1508,580,2436,2023-01-29,5,"The negotiation process was tough, but we managed to reach an agreement."
101,2750,860,3884,2023-01-29,2,The agent was very helpful and responsive. Highly recommended!
102,1631,306,4452,2023-01-30,1,"The house had some issues, but they were addressed promptly by the seller."
103,1584,916,3396,2023-01-30,1,"There were some delays, but the final result was worth the wait."
104,2251,476,2926,2023-01-30,3,"The process was a bit slow, but overall, I am satisfied with the outcome."
105,2543,364,2008,2023-01-31,2,I appreciate the transparency and professionalism throughout the transaction.
106,2850,801,2696,2023-01-31,5,The house was in excellent condition and exceeded my expectations.
107,1465,715,4717,2023-01-31,1,"The house had some issues, but they were addressed promptly by the seller."
108,2875,169,1518,2023-01-31,3,"There were some delays, but the final result was worth the wait."
109,482,74,4639,2023-02-01,2,The agent was very helpful and responsive. Highly recommended!
110,2123,790,2187,2023-02-01,5,"The house had some issues, but they were addressed promptly by the seller."
111,2882,135,2119,2023-02-01,2,"There were some delays, but the final result was worth the wait."
