appointment_id,client_id,agent_id,house_id,appointment_date,appointment_time,status,comments
1,661,3,694,2023-01-01,22:41:19,cancelled,I appreciate the agent's professionalism and attention to detail.
2,2984,23,888,2023-01-01,21:19:24,cancelled,The agent was patient and explained everything clearly. Great service!
3,561,4,303,2023-01-01,14:50:58,cancelled,I appreciate the agent's professionalism and attention to detail.
4,2529,13,751,2023-01-01,23:16:44,scheduled,"Good service overall, but there were some delays in responses."
5,1654,10,29,2023-01-01,12:58:01,cancelled,"Good service overall, but there were some delays in responses."
6,2561,24,999,2023-01-01,21:24:21,cancelled,I appreciate the agent's professionalism and attention to detail.
7,1111,10,822,2023-01-01,15:50:04,cancelled,I am very pleased with the service. The agent went above and beyond to help.
8,2427,32,985,2023-01-01,14:44:01,cancelled,"The service was satisfactory, but there is room for improvement in communication."
9,544,11,255,2023-01-01,02:38:01,cancelled,Excellent service provided by the agent. Very knowledgeable and helpful.
10,1512,22,788,2023-01-01,12:21:21,completed,"The service was satisfactory, but there is room for improvement in communication."
11,1001,27,512,2023-01-01,16:33:26,completed,The agent was patient and explained everything clearly. Great service!
12,1163,34,743,2023-01-01,05:06:56,scheduled,The agent was patient and explained everything clearly. Great service!
13,1166,30,7,2023-01-01,01:37:07,cancelled,I appreciate the agent's professionalism and attention to detail.
14,1323,31,395,2023-01-01,23:48:39,scheduled,Excellent service provided by the agent. Very knowledgeable and helpful.
15,830,40,798,2023-01-01,17:36:17,scheduled,The agent was very attentive and addressed all my concerns promptly.
16,2013,20,829,2023-01-01,18:04:50,scheduled,The agent was very attentive and addressed all my concerns promptly.
17,36,17,509,2023-01-01,21:59:48,completed,The agent provided excellent support and made the process smooth and easy.
18,455,28,193,2023-01-01,04:31:19,completed,The agent was very professional and courteous throughout the entire process.
19,902,27,506,2023-01-01,00:11:34,cancelled,The agent was very attentive and addressed all my concerns promptly.
20,1956,30,514,2023-01-01,06:19:36,scheduled,The agent was very professional and courteous throughout the entire process.
21,2580,16,859,2023-01-01,16:34:46,completed,I appreciate the agent's professionalism and attention to detail.
22,2829,43,712,2023-01-01,05:00:06,cancelled,Excellent service provided by the agent. Very knowledgeable and helpful.
23,1515,10,62,2023-01-01,10:24:32,scheduled,"Good service overall, but there were some delays in responses."
24,743,16,854,2023-01-01,23:14:43,completed,The agent was patient and explained everything clearly. Great service!
25,2389,10,333,2023-01-01,20:32:00,completed,"The service was satisfactory, but there is room for improvement in communication."
26,1870,13,526,2023-01-01,11:48:20,completed,The agent was patient and explained everything clearly. Great service!
27,992,29,890,2023-01-01,09:47:45,cancelled,I appreciate the agent's professionalism and attention to detail.
28,2426,24,755,2023-01-01,18:21:00,completed,The agent's expertise in the market was evident and very reassuring.
29,1723,46,444,2023-01-01,17:07:37,scheduled,"Good service overall, but there were some delays in responses."
30,1920,16,38,2023-01-01,18:29:01,cancelled,I appreciate the agent's professionalism and attention to detail.
31,1788,27,181,2023-01-01,03:38:03,cancelled,The agent was very attentive and addressed all my concerns promptly.
32,2968,49,472,2023-01-01,04:49:25,cancelled,I appreciate the agent's professionalism and attention to detail.
33,676,24,70,2023-01-01,01:12:13,scheduled,The agent was very attentive and addressed all my concerns promptly.
34,477,11,663,2023-01-01,07:15:12,cancelled,I appreciate the agent's professionalism and attention to detail.
35,98,38,736,2023-01-01,08:40:50,scheduled,The agent was very professional and courteous throughout the entire process.
36,2900,20,908,2023-01-01,19:39:22,scheduled,I am very pleased with the service. The agent went above and beyond to help.
37,2343,33,531,2023-01-01,16:04:10,completed,I am very pleased with the service. The agent went above and beyond to help.
38,1023,28,536,2023-01-01,03:02:41,cancelled,I am very pleased with the service. The agent went above and beyond to help.
39,2547,38,862,2023-01-01,14:56:48,completed,I am very pleased with the service. The agent went above and beyond to help.
40,121,20,358,2023-01-01,13:03:07,cancelled,Excellent service provided by the agent. Very knowledgeable and helpful.
41,2059,31,717,2023-01-01,22:38:36,scheduled,The agent was very professional and courteous throughout the entire process.
42,644,3,256,2023-01-01,20:05:17,scheduled,Excellent service provided by the agent. Very knowledgeable and helpful.
43,5,31,567,2023-01-01,01:33:36,completed,The agent was patient and explained everything clearly. Great service!
44,2231,26,563,2023-01-01,13:26:52,scheduled,"The service was satisfactory, but there is room for improvement in communication."
45,1652,2,152,2023-01-01,09:28:58,scheduled,The agent was very attentive and addressed all my concerns promptly.
46,212,4,815,2023-01-01,23:11:23,cancelled,The agent provided excellent support and made the process smooth and easy.
47,2486,29,686,2023-01-01,02:29:35,cancelled,The agent was very attentive and addressed all my concerns promptly.
48,2831,11,675,2023-01-01,20:54:06,cancelled,"Good service overall, but there were some delays in responses."
49,1880,7,706,2023-01-01,03:55:46,cancelled,I am very pleased with the service. The agent went above and beyond to help.
50,128,12,505,2023-01-01,21:01:09,completed,Excellent service provided by the agent. Very knowledgeable and helpful.
51,783,34,511,2023-01-01,12:34:18,cancelled,"Good service overall, but there were some delays in responses."
52,1234,43,173,2023-01-01,12:27:24,cancelled,"The service was satisfactory, but there is room for improvement in communication."
53,1623,44,54,2023-01-02,01:57:47,cancelled,The agent was very attentive and addressed all my concerns promptly.
54,272,5,675,2023-01-02,09:59:36,scheduled,The agent was very professional and courteous throughout the entire process.
55,610,37,938,2023-01-02,11:32:33,completed,The agent was patient and explained everything clearly. Great service!
56,861,16,302,2023-01-02,07:16:04,scheduled,"The service was satisfactory, but there is room for improvement in communication."
57,1753,18,107,2023-01-02,01:51:45,scheduled,The agent was very attentive and addressed all my concerns promptly.
58,2451,15,214,2023-01-02,04:20:24,completed,"Good service overall, but there were some delays in responses."
59,2782,14,118,2023-01-02,08:54:50,cancelled,Excellent service provided by the agent. Very knowledgeable and helpful.
60,1374,34,858,2023-01-02,03:03:26,completed,"Good service overall, but there were some delays in responses."
61,2841,50,115,2023-01-02,08:23:25,completed,"The service was satisfactory, but there is room for improvement in communication."
62,1063,6,618,2023-01-02,06:17:11,completed,The agent was patient and explained everything clearly. Great service!
63,1466,9,198,2023-01-02,09:46:36,scheduled,The agent was very professional and courteous throughout the entire process.
64,471,6,354,2023-01-02,22:24:23,cancelled,"The service was satisfactory, but there is room for improvement in communication."
65,2340,13,632,2023-01-02,01:42:01,scheduled,Excellent service provided by the agent. Very knowledgeable and helpful.
66,1485,44,557,2023-01-02,14:39:42,scheduled,"The service was satisfactory, but there is room for improvement in communication."
67,2549,45,43,2023-01-02,04:54:22,scheduled,I am very pleased with the service. The agent went above and beyond to help.
68,2397,33,266,2023-01-02,23:29:42,completed,I am very pleased with the service. The agent went above and beyond to help.
69,1901,18,323,2023-01-02,03:18:32,completed,Excellent service provided by the agent. Very knowledgeable and helpful.
70,1429,7,359,2023-01-02,11:20:19,scheduled,The agent was very professional and courteous throughout the entire process.
71,799,26,222,2023-01-02,10:51:39,completed,The agent's expertise in the market was evident and very reassuring.
72,1977,38,378,2023-01-02,10:49:11,scheduled,Excellent service provided by the agent. Very knowledgeable and helpful.
73,408,24,368,2023-01-02,23:20:56,completed,The agent provided excellent support and made the process smooth and easy.
74,790,38,622,2023-01-02,01:46:03,scheduled,Excellent service provided by the agent. Very knowledgeable and helpful.
75,346,5,213,2023-01-02,23:27:50,scheduled,The agent was very attentive and addressed all my concerns promptly.
76,1236,32,332,2023-01-02,14:31:41,cancelled,The agent was very professional and courteous throughout the entire process.
77,855,32,348,2023-01-02,20:46:22,scheduled,"The service was satisfactory, but there is room for improvement in communication."
78,979,16,52,2023-01-02,19:44:27,completed,The agent was very attentive and addressed all my concerns promptly.
79,2912,45,527,2023-01-02,02:07:19,completed,Excellent service provided by the agent. Very knowledgeable and helpful.
80,1087,9,712,2023-01-02,02:10:12,completed,I appreciate the agent's professionalism and attention to detail.
81,2818,8,765,2023-01-02,00:49:23,cancelled,"The service was satisfactory, but there is room for improvement in communication."
82,1093,12,494,2023-01-02,09:41:54,cancelled,The agent provided excellent support and made the process smooth and easy.
83,632,36,370,2023-01-02,03:30:15,completed,The agent was very professional and courteous throughout the entire process.
84,618,17,876,2023-01-02,22:57:56,scheduled,"The service was satisfactory, but there is room for improvement in communication."
85,40,41,779,2023-01-02,12:56:23,scheduled,"The service was satisfactory, but there is room for improvement in communication."
86,2615,19,637,2023-01-02,07:56:33,cancelled,"The service was satisfactory, but there is room for improvement in communication."
87,1395,29,88,2023-01-02,12:58:32,cancelled,The agent was very attentive and addressed all my concerns promptly.
88,2077,11,810,2023-01-02,16:52:50,cancelled,The agent provided excellent support and made the process smooth and easy.
89,2572,35,178,2023-01-02,17:18:21,cancelled,I am very pleased with the service. The agent went above and beyond to help.
90,904,33,662,2023-01-02,03:30:15,cancelled,"Good service overall, but there were some delays in responses."
91,2988,19,339,2023-01-02,04:44:46,cancelled,Excellent service provided by the agent. Very knowledgeable and helpful.
92,1896,41,105,2023-01-02,11:03:00,scheduled,The agent provided excellent support and made the process smooth and easy.
93,2561,39,911,2023-01-02,16:20:22,completed,The agent was patient and explained everything clearly. Great service!
94,2826,13,831,2023-01-02,13:26:20,scheduled,I appreciate the agent's professionalism and attention to detail.
95,2513,50,848,2023-01-02,14:59:45,scheduled,The agent was patient and explained everything clearly. Great service!
96,159,42,132,2023-01-02,12:20:04,scheduled,I am very pleased with the service. The agent went above and beyond to help.
97,628,46,340,2023-01-02,04:43:37,completed,I am very pleased with the service. The agent went above and beyond to help.
98,2052,49,200,2023-01-02,05:58:18,scheduled,The agent was very attentive and addressed all my concerns promptly.
99,2989,16,423,2023-01-02,11:47:36,scheduled,"The service was satisfactory, but there is room for improvement in communication."
100,2726,12,125,2023-01-02,09:06:08,completed,The agent was patient and explained everything clearly. Great service!
101,659,27,207,2023-01-02,10:35:02,scheduled,I am very pleased with the service. The agent went above and beyond to help.
102,2639,32,109,2023-01-02,11:00:32,cancelled,The agent was very attentive and addressed all my concerns promptly.
103,911,26,827,2023-01-02,12:58:40,completed,"The service was satisfactory, but there is room for improvement in communication."
104,178,41,604,2023-01-02,15:31:46,completed,I appreciate the agent's professionalism and attention to detail.
105,563,37,322,2023-01-03,14:53:41,completed,I appreciate the agent's professionalism and attention to detail.
106,402,8,703,2023-01-03,18:28:09,scheduled,"Good service overall, but there were some delays in responses."
107,747,34,306,2023-01-03,03:01:38,cancelled,The agent's expertise in the market was evident and very reassuring.
108,2502,43,612,2023-01-03,04:51:45,cancelled,Excellent service provided by the agent. Very knowledgeable and helpful.
109,2800,11,840,2023-01-03,10:14:01,cancelled,"The service was satisfactory, but there is room for improvement in communication."
110,1130,44,409,2023-01-03,10:04:10,cancelled,Excellent service provided by the agent. Very knowledgeable and helpful.
111,146,37,442,2023-01-03,08:06:42,cancelled,I appreciate the agent's professionalism and attention to detail.
112,1467,11,515,2023-01-03,02:48:30,scheduled,The agent's expertise in the market was evident and very reassuring.
113,1489,47,885,2023-01-03,23:57:37,completed,I am very pleased with the service. The agent went above and beyond to help.
114,2507,24,947,2023-01-03,01:37:07,completed,"Good service overall, but there were some delays in responses."
115,1358,8,466,2023-01-03,12:04:26,scheduled,The agent was patient and explained everything clearly. Great service!
116,1103,40,245,2023-01-03,01:02:42,scheduled,The agent's expertise in the market was evident and very reassuring.
117,115,41,820,2023-01-03,01:45:03,cancelled,The agent was very professional and courteous throughout the entire process.
118,632,9,988,2023-01-03,12:30:42,completed,"Good service overall, but there were some delays in responses."
119,876,3,294,2023-01-03,06:24:39,completed,The agent was very attentive and addressed all my concerns promptly.
120,2107,22,33,2023-01-03,11:34:22,scheduled,The agent provided excellent support and made the process smooth and easy.
